rc,dg,cpd_num,pathway
0,0,GS1,1
1,29.65,GS1,1
2,14.47,GS1,1
3,49.47,GS1,1
4,17.32,GS1,1
5,28.67,GS1,1
6,-9.18,GS1,1
7,44.99,GS1,1
8,-2.42,GS1,1
9,35.97,GS1,1
10,-9.62,GS1,1
11,52.88,GS1,1
12,-18.04,GS1,1
13,21.2,GS1,1
14,5.74,GS1,1
15,53.85,GS1,1
16,-0.53,GS1,1
17,31.97,GS1,1
18,-8.54,GS1,1
19,32.25,GS1,1
20,-10.23,GS1,1
21,28.67,GS1,1
22,-12.14,GS1,1
0,0,GS1,2
1,46.9,GS1,2
2,14.47,GS1,2
3,49.47,GS1,2
4,17.32,GS1,2
5,28.67,GS1,2
6,-9.18,GS1,2
7,44.99,GS1,2
8,-2.42,GS1,2
9,35.97,GS1,2
10,-9.62,GS1,2
11,64.91,GS1,2
12,-18.04,GS1,2
13,21.3,GS1,2
14,5.74,GS1,2
15,84.01,GS1,2
16,-0.53,GS1,2
17,32.07,GS1,2
18,-8.54,GS1,2
19,32.25,GS1,2
20,-10.23,GS1,2
21,35.04,GS1,2
22,-12.14,GS1,2
